INFO 2023-12-23 15:51:32,891 - Iniciar tarefa       Failed   
INFO 2023-12-23 15:51:33,974 - Exibe menu           Success  
INFO 2023-12-23 15:51:46,624 - Finalizar tarefa     Failed   
INFO 2023-12-23 15:51:47,578 - Exibe menu           Success  
INFO 2023-12-23 15:51:50,192 - Sair                 Success  
INFO 2023-12-23 15:52:52,046 - Exibe menu           Success  
INFO 2023-12-23 15:52:54,470 - Adicionar tarefas    Success  
INFO 2023-12-23 15:52:55,104 - Exibe menu           Success  
INFO 2023-12-23 15:52:55,808 - Adicionar tarefas    Success  
INFO 2023-12-23 15:52:56,174 - Exibe menu           Success  
INFO 2023-12-23 15:52:57,144 - Adicionar tarefas    Success  
INFO 2023-12-23 15:52:57,610 - Exibe menu           Success  
INFO 2023-12-23 15:53:04,640 - Iniciar tarefa       Failed   
INFO 2023-12-23 15:53:05,607 - Exibe menu           Success  
INFO 2023-12-23 15:53:07,995 - Finalizar tarefa     Failed   
INFO 2023-12-23 15:53:08,874 - Exibe menu           Success  
INFO 2023-12-23 15:53:14,809 - Iniciar tarefa       Failed   
INFO 2023-12-23 15:53:15,579 - Exibe menu           Success  
INFO 2023-12-23 15:53:17,882 - Sair                 Success  
INFO 2023-12-23 15:54:21,755 - Exibe menu           Success  
INFO 2023-12-23 15:54:24,663 - Adicionar tarefas    Success  
INFO 2023-12-23 15:54:25,509 - Exibe menu           Success  
INFO 2023-12-23 15:54:26,256 - Adicionar tarefas    Success  
INFO 2023-12-23 15:54:26,913 - Exibe menu           Success  
INFO 2023-12-23 15:54:28,209 - Adicionar tarefas    Success  
INFO 2023-12-23 15:54:29,158 - Exibe menu           Success  
INFO 2023-12-23 15:54:32,806 - Finalizar tarefa     Failed   
INFO 2023-12-23 15:54:33,941 - Exibe menu           Success  
INFO 2023-12-23 15:54:38,911 - Iniciar tarefa       Failed   
INFO 2023-12-23 15:54:39,786 - Exibe menu           Success  
INFO 2023-12-23 15:54:50,204 - Iniciar tarefa       Failed   
INFO 2023-12-23 15:54:51,123 - Exibe menu           Success  
INFO 2023-12-23 15:54:51,943 - Sair                 Success  
INFO 2023-12-23 16:07:44,523 - Exibe menu           Success  
INFO 2023-12-23 16:07:47,864 - Adicionar tarefas    Success  
INFO 2023-12-23 16:07:48,669 - Exibe menu           Success  
INFO 2023-12-23 16:07:49,511 - Adicionar tarefas    Success  
INFO 2023-12-23 16:07:49,930 - Exibe menu           Success  
INFO 2023-12-23 16:07:50,711 - Adicionar tarefas    Success  
INFO 2023-12-23 16:07:51,061 - Exibe menu           Success  
INFO 2023-12-23 16:07:53,424 - Exibir tarefas       Success  
INFO 2023-12-23 16:07:56,154 - Exibe menu           Success  
INFO 2023-12-23 16:08:04,343 - Iniciar tarefa       Failed   
INFO 2023-12-23 16:08:05,258 - Exibe menu           Success  
INFO 2023-12-23 16:08:08,603 - Finalizar tarefa     Failed   
INFO 2023-12-23 16:08:09,739 - Exibe menu           Success  
INFO 2023-12-23 16:12:50,256 - Iniciar tarefa       Failed   
INFO 2023-12-23 16:12:51,213 - Exibe menu           Success  
INFO 2023-12-23 16:12:52,288 - Sair                 Success  
INFO 2023-12-23 16:12:55,309 - Exibe menu           Success  
INFO 2023-12-23 16:12:57,761 - Adicionar tarefas    Success  
INFO 2023-12-23 16:12:58,827 - Exibe menu           Success  
INFO 2023-12-23 16:12:59,640 - Adicionar tarefas    Success  
